Points:
0,10
19,10
13,15
17,16
0,19
8,15
18,11
10,15
1,7
11,2
14,4
7,5
4,13
7,10
1,13
5,19
7,11
5,6
19,10
15,13
16,7
7,17
13,13
2,15
6,19
7,1
3,19
6,1
16,0
8,9
2,6
11,4
15,0
8,1
13,5
5,19
4,14
14,13
3,12
16,1
7,11
9,10
9,6
14,1
4,14
14,14
8,1
10,13
0,15
18,14
12,10
17,17
2,10
4,12
6,5
2,6
9,14
18,7
8,8
0,7
16,4
12,10
4,9
4,19
2,2
3,13
12,1
9,11
14,11
12,12
16,3
2,9
18,2
7,19
14,1
12,4
6,19
5,15
15,0
6,7
9,0
10,2
6,10
10,0
11,4
4,15
14,16
6,1
1,0
3,9
9,4
9,18
10,1
5,8
17,3
10,9
8,17
12,3
9,6
1,17

Cluster Centers:
4,5
2,6
5,13
14,13
12,1
12,9
10,14
17,14
15,1
6,6
